name,institution,photo,source
Alicia Montesinos,Affiliation to be confirmed,,B2 p36
Anna Eklöf,Linköping University,anna-eklof.jpg,B1 p3 and B2 p36
Buntarou Kusumoto,ThinkNature,,B1 p4
Claire Burke,Zulu Ecosystems,,B1 p4
Cornelia Krug,University of Zurich,,B2 p36; web search 2026-08-20
Dan Eastwood,Swansea University,,B2 p36; web search 2026-08-20
Daniel Jones,Advanced Invasives,,B1 p4
Elina Kaarlejärvi,University of Helsinki,elina-kaarlejarvi.jpg,B1 p3 and B2 p36
Francesco de Bello,Agencia Estatal Consejo Superior de Investigaciones Científicas,,B1 p3-p4 and B2 p36
Frederik De Laender,University of Namur,frederik-de-laender.jpg,B1 p3 and B2 p36
Fredric Windsor,Cardiff University,fredric-windsor.jpg,B1 p3 and B2 p36
Giulia Ghedini,Monash University,giulia-ghedini.jpg,B1 p3 and B2 p36
Guillermo Casanova,Generalitat Valenciana / CIEF,,B1 p4
György Barabas,Linköping University,,B2 p36; web search 2026-08-20
Helmut Hillebrand,University of Oldenburg,helmut-hillebrand.jpg,B1 p3 and B2 p36
Ian Donohue,Trinity College Dublin,,B1 p4
Kathryn Mullins,Welsh Government,,B1 p4
Laura Antão,University of Turku,,B2 p36; web search 2026-08-20
Maren Striebel,University of Oldenburg,maren-striebel.jpg,B2 p36; web search 2026-08-20
Maria Santos,University of Zurich,maria-santos.jpg,B1 p13 and B2 p36
Mike Fowler,Swansea University,mike-fowler.jpg,B1 p3 and B2 p36
Owen Petchey,University of Zurich,owen-petchey.jpg,B1 p3 and B2 p36
Samuel Ross,Okinawa Institute of Science and Technology Graduate University,samuel-ross.jpg,B1 p3-p4 and B2 p36
Sara Keen,Earth Species Project,,B1 p4
Tad Dallas,University of South Carolina,,B2 p36; web search 2026-08-20
Thomas Lyrholm,Swedish Environmental Protection Agency,,B1 p4
Ute Jacob,"Helmholtz Institute for Functional Marine Biodiversity (HIFMB), University of Oldenburg",,B2 p36; web search 2026-08-20
