key,value,source
project_name,ReDiLEEP,B1 p1
full_title,Using science-driven Response Diversity knowledge to Leverage Efficient Ecosystem Preservation and restoration,B1 p1
programme,Marie Sklodowska-Curie Actions Doctoral Network,B1 p1
doctoral_candidates,13,B1 p28 and B1 p32
listed_organisations,20,B1 p3-p4
response_diversity_network_members,>120,B1 p5
scientific_objective_1,Identify and elucidate mechanisms through which response diversity contributes to socio-ecological resilience under different environmental stressors.,B1 p5
scientific_objective_2,Develop and validate a reproducible standardised toolkit of metrics and empirical methods for quantifying response diversity across ecosystems and spatiotemporal scales.,B1 p5
scientific_objective_3,Co-design practical frameworks for integrating response diversity into conservation restoration and policy decision-making across diverse socio-ecological contexts.,B1 p5
training_objective_1,Facilitate efficient knowledge development through a tailored combination of theoretical empirical and practical training.,B1 p5 and B1 p18
training_objective_2,Foster interdisciplinary and intersectoral collaboration to close gaps between ecological research policymaking and practical implementation.,B1 p5 and B1 p18
training_objective_3,Promote active engagement in transformative change supporting global and EU initiatives for ecosystem restoration and biodiversity conservation.,B1 p5 and B1 p18
